date,product,country,impressions
5/24/2019,Batman,so,1
6/7/2019,Batman,pt,130
6/7/2019,Batman,tg,1
6/7/2019,Batman,kr,0
6/9/2019,Batman,sm,4
5/15/2019,Batman,jm,55
6/12/2019,Batman,es,31886
6/12/2019,Batman,ch,2275
6/12/2019,Batman,eu,0
6/12/2019,Batman,li,3
6/12/2019,Batman,ap,0
5/14/2019,Batman,al,61
6/2/2019,Batman,sa,73
6/2/2019,Batman,af,21
6/2/2019,Batman,empty_value,0
6/2/2019,Batman,zw,10
6/5/2019,Batman,au,16829
6/5/2019,Batman,mt,18
5/22/2019,Batman,kw,41
5/22/2019,Batman,uz,18
5/22/2019,Batman,ro,210
5/22/2019,Batman,si,48
5/22/2019,Batman,mq,5
5/22/2019,Batman,by,5
6/28/2019,Batman,pk,52
6/21/2019,Batman,es,22503
6/21/2019,Batman,td,6
6/21/2019,Batman,aw,1
6/21/2019,Batman,gu,21
5/23/2019,Batman,so,2
5/5/2019,Batman,mx,46998
5/5/2019,Batman,th,16718
5/5/2019,Batman,unknown,495
5/5/2019,Batman,gr,149
5/5/2019,Batman,nz,130
5/5/2019,Batman,ee,15
5/5/2019,Batman,row,0
5/29/2019,Batman,th,28199
5/29/2019,Batman,pt,190
5/29/2019,Batman,rs,98
5/29/2019,Batman,mm,16
5/29/2019,Batman,pa,314
5/29/2019,Batman,zz,0
5/29/2019,Batman,bt,2
5/8/2019,Batman,sa,101
5/8/2019,Batman,bh,11
5/8/2019,Batman,pr,128
5/8/2019,Batman,ne,10
5/19/2019,Batman,ar,33508
5/19/2019,Batman,fr,73562
6/30/2019,Batman,il,29
6/30/2019,Batman,re,0
5/28/2019,Batman,pa,288
5/28/2019,Batman,qa,23
5/28/2019,Batman,ni,62
5/28/2019,Batman,cu,0
5/28/2019,Batman,ye,10
6/29/2019,Batman,mt,27
6/29/2019,Batman,be,187
6/29/2019,Batman,al,31
6/29/2019,Batman,bh,20
6/20/2019,Batman,rw,32
6/20/2019,Batman,ba,17
6/20/2019,Batman,gg,0
6/20/2019,Batman,cm,2
5/7/2019,Batman,ch,2898
5/7/2019,Batman,ma,53
5/7/2019,Batman,ir,0
5/7/2019,Batman,mv,2
5/30/2019,Batman,pe,30357
5/30/2019,Batman,bg,61
5/30/2019,Batman,vi,0
5/30/2019,Batman,mv,9
5/30/2019,Batman,md,0
6/6/2019,Batman,pl,401
6/6/2019,Batman,et,98
6/6/2019,Batman,kz,12
6/6/2019,Batman,lk,59
6/6/2019,Batman,ci,0
5/6/2019,Batman,np,92
5/6/2019,Batman,o,0
5/6/2019,Batman,tc,2
5/6/2019,Batman,ao,3
6/19/2019,Batman,gb,48427
6/19/2019,Batman,ro,163
6/19/2019,Batman,bo,97
6/19/2019,Batman,lu,19
6/19/2019,Batman,kg,4
6/19/2019,Batman,mn,6
6/19/2019,Batman,la,0
5/1/2019,Batman,tr,83
5/1/2019,Batman,td,1
5/27/2019,Batman,bj,22
6/18/2019,Batman,iq,46
6/18/2019,Batman,sv,32
6/18/2019,Batman,ap,0
6/18/2019,Batman,tz,0
6/18/2019,Batman,pm,1
6/4/2019,Batman,vn,25201
6/4/2019,Batman,ae,157
6/4/2019,Batman,uz,2
5/20/2019,Batman,al,51
5/20/2019,Batman,tn,2670
5/20/2019,Batman,qa,44
5/20/2019,Batman,gr,109
5/20/2019,Batman,hr,12
6/15/2019,Batman,al,21
6/15/2019,Batman,kw,14
6/15/2019,Batman,mn,25
6/8/2019,Batman,es,22306
6/8/2019,Batman,qa,62
6/8/2019,Batman,ke,42
6/8/2019,Batman,so,1
6/8/2019,Batman,ge,2
6/8/2019,Batman,ly,0
6/25/2019,Batman,ad,1
6/25/2019,Batman,zw,9
5/3/2019,Batman,il,21
5/3/2019,Batman,bo,59
5/3/2019,Batman,do,86
5/3/2019,Batman,ua,44
5/3/2019,Batman,td,2
5/3/2019,Batman,ky,4
5/3/2019,Batman,tl,12
5/3/2019,Batman,is,19
5/3/2019,Batman,tc,2
6/27/2019,Batman,gb,41117
6/27/2019,Batman,bh,14
5/13/2019,Batman,ar,41827
5/13/2019,Batman,ec,274
5/13/2019,Batman,bh,6
5/13/2019,Batman,mc,5
5/13/2019,Batman,ne,17
6/9/2019,Batman,es,27150
6/9/2019,Batman,ec,345
6/10/2019,Batman,empty_value,0
6/10/2019,Batman,ps,0
5/25/2019,Batman,vn,23342
5/25/2019,Batman,jp,447
5/25/2019,Batman,bh,13
5/25/2019,Batman,af,17
5/25/2019,Batman,ne,2
5/25/2019,Batman,bz,5
6/17/2019,Batman,es,30366
6/17/2019,Batman,lt,68
6/17/2019,Batman,za,46
6/17/2019,Batman,be,223
6/17/2019,Batman,xk,0
6/11/2019,Batman,me,2
6/11/2019,Batman,bw,4
6/11/2019,Batman,kz,2
6/24/2019,Batman,se,2158
6/24/2019,Batman,bg,60
6/24/2019,Batman,rs,57
6/24/2019,Batman,iq,60
6/24/2019,Batman,ua,11
6/24/2019,Batman,ni,5
6/16/2019,Batman,kw,23
6/16/2019,Batman,bo,72
6/16/2019,Batman,tr,66
6/16/2019,Batman,mn,14
6/16/2019,Batman,gu,1
5/10/2019,Batman,us,206433
6/26/2019,Batman,ph,50038
6/26/2019,Batman,dz,483
5/12/2019,Batman,eu,0
5/12/2019,Batman,qa,34
5/12/2019,Batman,mc,2
5/12/2019,Batman,am,16
5/12/2019,Batman,gg,0
5/12/2019,Batman,ad,1
5/21/2019,Batman,id,135026
5/21/2019,Batman,a1,0
5/21/2019,Batman,gu,2
5/21/2019,Batman,ba,13
5/18/2019,Batman,co,45184
5/18/2019,Batman,za,66
5/18/2019,Batman,ee,17
5/18/2019,Batman,kw,32
5/18/2019,Batman,sk,44
5/16/2019,Batman,se,2707
5/16/2019,Batman,tn,2732
5/16/2019,Batman,py,52
5/16/2019,Batman,ir,0
5/16/2019,Batman,re,0
6/22/2019,Batman,ve,16656
6/22/2019,Batman,ie,2086
6/22/2019,Batman,bd,374
6/22/2019,Batman,pr,74
6/22/2019,Batman,il,38
6/22/2019,Batman,cr,36
5/26/2019,Batman,np,96
5/26/2019,Batman,om,37
5/26/2019,Batman,mz,6
5/26/2019,Batman,xk,0
6/23/2019,Batman,au,13062
6/23/2019,Batman,hn,16
6/23/2019,Batman,bo,78
6/23/2019,Batman,ly,0
6/1/2019,Batman,ec,304
6/1/2019,Batman,lk,88
6/1/2019,Batman,lt,43
6/1/2019,Batman,si,22
6/1/2019,Batman,gf,0
5/11/2019,Batman,ca,30046
5/11/2019,Batman,gb,50682
5/11/2019,Batman,at,3355
5/11/2019,Batman,fi,1466
5/11/2019,Batman,mu,41
5/4/2019,Batman,in,142646
5/4/2019,Batman,cn,19
5/17/2019,Batman,cr,15
5/17/2019,Batman,py,66
5/17/2019,Batman,ht,6
5/17/2019,Batman,za,70
6/3/2019,Batman,ca,35771
6/3/2019,Batman,gr,77
6/3/2019,Batman,ee,13
6/3/2019,Batman,om,18
6/14/2019,Batman,my,15286
6/14/2019,Batman,tw,15988
6/14/2019,Batman,kw,52
5/31/2019,Batman,au,20969
5/31/2019,Batman,ma,64
5/31/2019,Batman,hn,16
5/31/2019,Batman,na,25
5/31/2019,Batman,ly,0
6/13/2019,Batman,ar,34271
6/13/2019,Batman,au,22712
7/1/2019,Batman,tr,72
7/1/2019,Batman,si,7
7/1/2019,Batman,re,0
5/24/2019,Batman,rw,4
5/24/2019,Batman,ne,4
5/24/2019,Batman,sy,0
5/24/2019,Batman,gy,6
6/7/2019,Batman,pl,397
6/7/2019,Batman,ke,66
6/7/2019,Batman,mr,5
6/10/2019,Batman,pf,1
5/15/2019,Batman,lv,21
5/15/2019,Batman,zw,10
5/15/2019,Batman,hu,108
6/12/2019,Batman,ph,50038
6/12/2019,Batman,bg,48
6/12/2019,Batman,sk,22
6/12/2019,Batman,uy,377
6/12/2019,Batman,gh,30
5/14/2019,Batman,do,83
5/14/2019,Batman,nz,134
5/14/2019,Batman,sn,31
5/14/2019,Batman,mn,2
5/14/2019,Batman,by,2
6/2/2019,Batman,be,278
6/2/2019,Batman,sk,22
6/5/2019,Batman,tw,17483
6/5/2019,Batman,sz,1
6/5/2019,Batman,am,10
5/22/2019,Batman,ml,19
5/22/2019,Batman,ke,19
5/22/2019,Batman,pk,50
5/22/2019,Batman,bt,1
5/22/2019,Batman,cg,4
5/22/2019,Batman,is,8
6/28/2019,Batman,fi,1150
6/28/2019,Batman,dk,1166
6/28/2019,Batman,al,14
6/28/2019,Batman,bf,1
6/21/2019,Batman,us,192670
6/21/2019,Batman,se,1386
6/21/2019,Batman,mr,1
6/21/2019,Batman,mw,1
6/21/2019,Batman,tl,5
5/23/2019,Batman,pt,177
5/23/2019,Batman,np,77
5/23/2019,Batman,hu,119
5/23/2019,Batman,gh,20
5/23/2019,Batman,sv,30
5/23/2019,Batman,cv,4
5/23/2019,Batman,zm,10
5/5/2019,Batman,af,63
5/5/2019,Batman,so,5
5/5/2019,Batman,gh,22
5/29/2019,Batman,id,105946
5/29/2019,Batman,tg,1
5/29/2019,Batman,sc,5
5/8/2019,Batman,ec,295
5/8/2019,Batman,do,94
5/19/2019,Batman,cz,52
5/19/2019,Batman,lk,82
5/19/2019,Batman,sn,35
6/30/2019,Batman,tn,1842
6/30/2019,Batman,xk,0
6/30/2019,Batman,mn,3
6/30/2019,Batman,sr,2
6/30/2019,Batman,gg,0
6/30/2019,Batman,row,0
6/30/2019,Batman,ws,2
5/28/2019,Batman,cr,6
5/28/2019,Batman,lr,2
5/28/2019,Batman,jo,18
5/28/2019,Batman,sl,5
5/28/2019,Batman,ms,1
6/29/2019,Batman,us,154474
6/29/2019,Batman,fr,39934
6/29/2019,Batman,hk,0
6/20/2019,Batman,tn,2133
6/20/2019,Batman,fi,1174
6/20/2019,Batman,bd,392
6/20/2019,Batman,gy,11
5/7/2019,Batman,ca,37092
5/7/2019,Batman,ua,10
5/7/2019,Batman,se,2702
5/7/2019,Batman,bo,38
5/30/2019,Batman,zm,6
5/30/2019,Batman,hk,0
5/30/2019,Batman,sv,34
5/30/2019,Batman,ba,22
5/30/2019,Batman,na,29
5/30/2019,Batman,as,0
6/6/2019,Batman,bz,47
6/6/2019,Batman,ml,2
6/6/2019,Batman,jm,20
5/6/2019,Batman,ph,49453
5/6/2019,Batman,se,2885
5/6/2019,Batman,hn,38
5/6/2019,Batman,be,242
5/6/2019,Batman,do,83
5/6/2019,Batman,py,50
5/6/2019,Batman,gu,3
5/6/2019,Batman,dj,2
6/19/2019,Batman,ve,22562
6/19/2019,Batman,uy,294
6/19/2019,Batman,vu,2
6/19/2019,Batman,pm,1
5/1/2019,Batman,do,97
5/1/2019,Batman,cy,237
5/1/2019,Batman,pr,119
5/1/2019,Batman,lk,39
5/1/2019,Batman,by,4
5/1/2019,Batman,gl,2
5/27/2019,Batman,es,38414
5/27/2019,Batman,vn,29450
5/27/2019,Batman,pe,30817
5/27/2019,Batman,sa,119
5/27/2019,Batman,empty_value,0
5/27/2019,Batman,ir,0
5/27/2019,Batman,gf,2
5/27/2019,Batman,ht,7
5/27/2019,Batman,pg,1
6/18/2019,Batman,al,30
6/18/2019,Batman,gp,16
6/4/2019,Batman,fo,1
6/4/2019,Batman,pw,2
6/4/2019,Batman,tz,0
6/4/2019,Batman,kr,0
6/4/2019,Batman,td,3
6/4/2019,Batman,aw,3
5/20/2019,Batman,th,22790
5/20/2019,Batman,,0
5/20/2019,Batman,rs,85
5/20/2019,Batman,za,93
5/20/2019,Batman,empty_value,0
6/15/2019,Batman,my,12351
6/15/2019,Batman,nl,5511
6/15/2019,Batman,ro,211
6/15/2019,Batman,tl,14
6/15/2019,Batman,dj,2
6/8/2019,Batman,by,4
6/25/2019,Batman,tn,1928
6/25/2019,Batman,au,25908
6/25/2019,Batman,bd,370
6/25/2019,Batman,cy,62
6/25/2019,Batman,ng,70
6/25/2019,Batman,mq,19
6/25/2019,Batman,mg,2
6/25/2019,Batman,usck_sni,0
6/25/2019,Batman,kr,0
5/3/2019,Batman,dk,1627
5/3/2019,Batman,kz,5
6/27/2019,Batman,co,31285
6/27/2019,Batman,rw,15
6/27/2019,Batman,lv,25
6/27/2019,Batman,ht,2
6/27/2019,Batman,ge,7
6/27/2019,Batman,so,5
6/27/2019,Batman,gl,1
5/13/2019,Batman,pl,535
5/13/2019,Batman,pk,68
5/13/2019,Batman,zm,20
5/13/2019,Batman,ls,1
6/10/2019,Batman,et,97
6/10/2019,Batman,ec,359
6/9/2019,Batman,ae,182
6/10/2019,Batman,pa,191
6/9/2019,Batman,bg,47
6/9/2019,Batman,pr,76
6/10/2019,Batman,gg,0
5/25/2019,Batman,gb,45730
5/25/2019,Batman,it,21054
5/25/2019,Batman,fr,57272
5/25/2019,Batman,se,2012
5/25/2019,Batman,gq,6
5/25/2019,Batman,ru,0
6/17/2019,Batman,my,19354
6/17/2019,Batman,cn,31
6/11/2019,Batman,vn,23202
6/11/2019,Batman,kh,1417
6/11/2019,Batman,ie,2728
6/11/2019,Batman,ao,18
6/24/2019,Batman,in,136838
6/24/2019,Batman,bo,90
6/24/2019,Batman,il,21
6/24/2019,Batman,a2,0
6/24/2019,Batman,uz,30
6/24/2019,Batman,ht,11
5/2/2019,Batman,il,28
5/2/2019,Batman,tl,25
5/2/2019,Batman,cz,62
5/2/2019,Batman,zm,14
6/16/2019,Batman,au,13093
6/16/2019,Batman,ma,96
6/16/2019,Batman,gh,18
6/16/2019,Batman,tt,7
6/16/2019,Batman,gg,0
5/10/2019,Batman,tw,16675
5/10/2019,Batman,ky,4
5/10/2019,Batman,tl,2
5/10/2019,Batman,is,1
6/26/2019,Batman,ye,9
5/12/2019,Batman,uy,1972
5/12/2019,Batman,gd,1
5/9/2019,Batman,be,180
5/9/2019,Batman,ao,15
5/9/2019,Batman,ke,22
5/9/2019,Batman,zm,6
5/9/2019,Batman,ir,0
5/21/2019,Batman,mx,69822
5/21/2019,Batman,by,0
5/21/2019,Batman,za,88
5/21/2019,Batman,ge,18
5/21/2019,Batman,mn,12
5/21/2019,Batman,is,2
